Year,Temperature
1900,286.83
1901,286.75
1902,286.65
1903,286.54999999999995
1904,286.47
1905,286.6
1906,286.67999999999995
1907,286.52
1908,286.45
1909,286.46
1910,286.51
1911,286.46
1912,286.56
1913,286.58
1914,286.76
1915,286.83
1916,286.61
1917,286.59
1918,286.69
1919,286.7
1920,286.69
1921,286.75
1922,286.67
1923,286.69
1924,286.65
1925,286.75
1926,286.84
1927,286.75
1928,286.73
1929,286.61
1930,286.79999999999995
1931,286.83
1932,286.78
1933,286.66
1934,286.79999999999995
1935,286.76
1936,286.79
1937,286.89
1938,286.88
1939,286.89
1940,287.0
1941,287.1
1942,287.04999999999995
1943,287.06
1944,287.19
1945,287.07
1946,286.9
1947,286.85
1948,286.85
1949,286.84
1950,286.73999999999995
1951,286.89
1952,286.92
1953,287.0
1954,286.78
1955,286.77
1956,286.7
1957,286.95
1958,287.01
1959,286.96
1960,286.92
1961,286.98
1962,286.98999999999995
1963,287.01
1964,286.75
1965,286.82
1966,286.88
1967,286.89
1968,286.87
1969,286.98999999999995
1970,286.94
1971,286.82
1972,286.92999999999995
1973,287.06
1974,286.83
1975,286.9
1976,286.82
1977,287.1
1978,287.01
1979,287.13
1980,287.17
1981,287.2
1982,287.09
1983,287.23999999999995
1984,287.04999999999995
1985,287.04
1986,287.13
1987,287.27
1988,287.28
1989,287.2
1990,287.33
1991,287.31
1992,287.16
1993,287.19
1994,287.23999999999995
1995,287.36
1996,287.22
1997,287.42
1998,287.54
1999,287.34
2000,287.33
2001,287.45
2002,287.5
2003,287.51
2004,287.48
2005,287.56
2006,287.52
2007,287.51
2008,287.44
2009,287.54
2010,287.6
2011,287.48
2012,287.52
2013,287.57
2014,287.64
